MATRICULE,NOM,PRENOM,EMAIL,TELEPHONE,DATE_NAISSANCE,SEXE,DATE_FEET,DATE_SORTIE,CODE_GESTIONNAIRE,LIBELLE_GESTIONNAIRE,CODE_ASSUREUR,LIBELLE_ASSUREUR
817666,Holt,Joseph,bennettbrian@example.org,539-424-9097x82400,1976-01-18,F,2024-02-04,2024-04-22,921947,Gestionnaire 921947,987199,Assureur 987199
638073,Marsh,Michelle,rbrooks@example.org,564-559-7710x80001,1993-10-10,M,2022-03-19,2022-04-03,196402,Gestionnaire 196402,209507,Assureur 209507
357797,Richardson,Jamie,valeriehernandez@example.net,(736)466-6615x458,1943-09-02,F,2023-01-13,2023-09-25,160856,Gestionnaire 160856,132534,Assureur 132534
379599,Phillips,Susan,nathanowen@example.net,857-309-0749x4797,1995-06-28,M,2021-07-09,2022-08-03,507518,Gestionnaire 507518,782314,Assureur 782314
781546,Gill,Nichole,dsmith@example.net,543.858.3387,2004-06-12,F,2015-05-27,2019-04-20,827234,Gestionnaire 827234,335769,Assureur 335769
856086,Simpson,Kenneth,pphillips@example.com,671-342-7635,1936-09-21,F,2022-02-27,2022-07-06,937820,Gestionnaire 937820,651516,Assureur 651516
623409,Vasquez,Jonathan,james43@example.net,(520)660-4934x3053,1957-04-12,M,2015-02-18,2022-07-18,127368,Gestionnaire 127368,221613,Assureur 221613
875089,Hernandez,Renee,stephen70@example.org,791.833.7938x322,1976-03-31,M,2019-12-06,2022-12-17,779898,Gestionnaire 779898,414185,Assureur 414185
400513,Murphy,Lori,brose@example.net,547.691.2808,1998-03-30,M,2015-08-19,2021-12-21,612783,Gestionnaire 612783,418391,Assureur 418391
816853,Cooper,David,carlos49@example.net,001-898-630-8090x2263,1961-08-01,M,2019-05-31,2021-10-13,793553,Gestionnaire 793553,878202,Assureur 878202
923282,Lutz,Tina,matthew56@example.net,7408314327,1949-01-24,M,2017-09-09,2023-02-13,129065,Gestionnaire 129065,459093,Assureur 459093
1001778,Fisher,Timothy,yanglori@example.org,460-465-4334,1959-07-04,F,2015-11-05,2018-10-07,399794,Gestionnaire 399794,257212,Assureur 257212
650671,Johnson,Anthony,brittanyharper@example.com,001-531-534-1277x1369,1970-07-03,M,2024-01-10,2024-04-20,871485,Gestionnaire 871485,452308,Assureur 452308
795379,Baker,Susan,reevesthomas@example.net,+1-532-623-4198x057,1981-08-31,M,2018-05-07,2024-01-15,580933,Gestionnaire 580933,715160,Assureur 715160
1069361,Cole,Patricia,kim07@example.com,9776320624,1945-07-31,F,2019-01-01,2021-09-13,23444,Gestionnaire 23444,321664,Assureur 321664
424638,Harrison,Audrey,cnelson@example.com,259.723.7796x1842,1971-08-22,F,2018-02-06,2020-02-25,587066,Gestionnaire 587066,720871,Assureur 720871
289132,Christensen,Craig,ralphsilva@example.com,3935337979,1966-06-15,M,2023-06-30,2023-07-06,482897,Gestionnaire 482897,638133,Assureur 638133
451593,Bishop,Alexander,rthomas@example.com,280.728.0701,1935-01-18,F,2017-06-24,2020-02-23,51059,Gestionnaire 51059,701121,Assureur 701121
693600,Evans,Kelly,smithmark@example.org,926.877.5103x45529,2004-06-20,F,2014-07-04,2014-08-30,957004,Gestionnaire 957004,232853,Assureur 232853
297966,Martin,Laura,crystal11@example.net,8357515409,1948-10-03,M,2024-01-13,2024-02-06,619695,Gestionnaire 619695,23733,Assureur 23733
167397,Ramirez,James,smithsamantha@example.net,+1-709-343-7794,1947-09-05,M,2021-08-29,2023-09-03,946170,Gestionnaire 946170,483635,Assureur 483635
903555,Horton,Michael,teresa18@example.com,(831)617-1295x34502,1948-05-16,F,2024-03-04,2024-05-22,887273,Gestionnaire 887273,880864,Assureur 880864
772743,Carter,Leah,elizabeth89@example.com,316.609.0005x48944,1962-07-24,F,2018-05-12,2020-06-14,740719,Gestionnaire 740719,342781,Assureur 342781
689308,Schneider,David,timothyallen@example.net,+1-797-634-7763x26241,1976-03-14,M,2021-10-19,2022-10-02,647603,Gestionnaire 647603,481539,Assureur 481539
967392,Ferguson,Taylor,blackleslie@example.net,(911)623-9165x547,1948-06-14,F,2017-11-08,2021-10-29,481086,Gestionnaire 481086,322859,Assureur 322859
976171,Carter,Steven,ecolon@example.org,811-904-4783,1992-05-05,M,2017-08-14,2023-08-18,170683,Gestionnaire 170683,977601,Assureur 977601
418111,Walker,Latoya,thomasmegan@example.org,(760)347-2915,1947-07-24,M,2020-06-03,2020-06-09,10506,Gestionnaire 10506,454960,Assureur 454960
623744,Merritt,Glenn,davidjohnson@example.com,(430)979-2489,1998-02-11,M,2014-12-27,2021-03-24,530235,Gestionnaire 530235,327505,Assureur 327505
1088289,Raymond,Lindsey,sjackson@example.net,(481)653-1618,1934-09-25,F,2018-11-26,2022-02-03,543479,Gestionnaire 543479,466271,Assureur 466271
244661,Li,Darrell,bmoore@example.net,745-858-2624x663,1972-10-26,M,2019-06-28,2023-07-31,162140,Gestionnaire 162140,903768,Assureur 903768
625093,Fisher,John,cynthia30@example.org,+1-743-615-2718x180,2001-01-09,M,2022-08-17,2023-06-09,429730,Gestionnaire 429730,196091,Assureur 196091
842166,Villanueva,Thomas,stevensjared@example.com,001-745-496-5755x95737,1970-07-14,M,2017-05-22,2019-04-30,296849,Gestionnaire 296849,406515,Assureur 406515
492659,Andrews,Dustin,rconrad@example.com,+1-217-688-7647x9581,1953-10-15,M,2021-03-20,2023-02-14,623844,Gestionnaire 623844,416359,Assureur 416359
1042414,Rowland,Paul,tlewis@example.net,(716)392-6543x698,1998-09-20,M,2023-03-08,2024-02-07,158898,Gestionnaire 158898,385935,Assureur 385935
452806,Galloway,Taylor,ericmontgomery@example.net,731.504.3117,1969-08-19,M,2023-08-20,2024-02-11,648963,Gestionnaire 648963,925043,Assureur 925043
450190,Ball,Angela,tbates@example.org,236.512.8736x064,1991-12-14,M,2014-08-15,2015-07-05,243518,Gestionnaire 243518,413641,Assureur 413641
655375,Lucas,Samuel,higginslorraine@example.org,001-391-554-6546x007,1938-05-30,M,2016-04-12,2018-07-22,588810,Gestionnaire 588810,347517,Assureur 347517
202474,Dennis,Aaron,rthomas@example.org,(968)854-9249,1992-12-06,F,2023-11-26,2024-02-21,604096,Gestionnaire 604096,345991,Assureur 345991
329424,Graves,Michele,justin09@example.net,203-231-8479,1977-02-21,F,2015-07-07,2018-04-26,997751,Gestionnaire 997751,777051,Assureur 777051
460661,Harrison,Kevin,cody54@example.net,(824)404-4609x700,1948-05-15,F,2021-01-24,2021-04-10,39937,Gestionnaire 39937,682076,Assureur 682076
361139,Griffin,Cody,greg57@example.org,857.426.7539x3896,1945-08-23,M,2016-10-27,2023-01-31,346923,Gestionnaire 346923,572888,Assureur 572888
218740,Johnson,Christina,michael85@example.net,320-622-9262x166,1938-11-27,F,2019-06-24,2023-10-23,571917,Gestionnaire 571917,566775,Assureur 566775
175347,Smith,Douglas,brittney34@example.net,979-263-4503x7726,1958-04-14,F,2018-07-17,2020-06-04,159740,Gestionnaire 159740,921000,Assureur 921000
493203,Lopez,Brady,mistyramos@example.net,374-459-5554x6264,1944-04-13,M,2017-07-06,2023-10-11,898693,Gestionnaire 898693,524129,Assureur 524129
821107,Woodward,Joyce,johnmcpherson@example.net,608.906.2635x382,1969-12-07,M,2020-05-24,2021-05-08,679076,Gestionnaire 679076,150257,Assureur 150257
244324,Johnson,Christy,cwhitaker@example.org,+1-453-325-1933x1902,1982-09-20,M,2015-10-20,2021-06-27,339712,Gestionnaire 339712,535492,Assureur 535492
167506,Decker,Courtney,davissarah@example.org,+1-986-582-6217x3474,1959-07-22,F,2017-05-18,2022-03-13,676988,Gestionnaire 676988,85732,Assureur 85732
210028,Mcdonald,Lisa,scottreynolds@example.org,7789984237,1987-12-14,M,2021-08-20,2023-02-10,173553,Gestionnaire 173553,341193,Assureur 341193
445006,Fuller,Renee,hoodjoel@example.com,001-243-999-9574x189,1972-06-11,F,2022-04-13,2024-02-10,271660,Gestionnaire 271660,465601,Assureur 465601
365361,Chambers,Barbara,kathrynroberts@example.org,(934)404-3009,1999-07-27,M,2016-01-23,2020-04-02,629345,Gestionnaire 629345,285168,Assureur 285168
445006,Fuller,Renee,hoodjoel@example.com,001-243-999-9574x189,1972-06-11,F,2022-04-13,2024-02-10,271660,Gestionnaire 271660,465601,Assureur 465603
